,Name,Region,Country,GlobalScore,GlobalRank,Total students,PG students total,UG students total,International students,PG students intl,UG students intl,Total faculty staff,International staff,Domestic staff,Citations_per_Faculty,International_Students,International_Faculty,Faculty_Student,Employer_Reputation,Academic_Reputation
23,Universidad Pontificia Bolivariana,Latin America,Colombia,,551,9355,15%,85%,330,23%,77%,1217,25,1192,,,,74.2,28.1,
24,Universidad Anáhuac México,Latin America,Mexico,,561,17403,12%,88%,463,16%,84%,2078,97,1981,,,,64.9,36.2,
25,Universidad Nacional de La Plata (UNLP),Latin America,Argentina,,591,118688,11%,89%,7259,20%,80%,10262,36,10226,,,,27,,31
26,Instituto Tecnológico de Buenos Aires (ITBA),Latin America,Argentina,,601,3028,22%,78%,301,15%,85%,344,36,308,,17.4,21.8,59.4,26.7,
27,Pontifícia Universidade Católica do Rio de Janeiro,Latin America,Brazil,,601,13252,22%,78%,445,60%,40%,725,75,650,,,21.3,,,28.2
28,Universidad de Concepción,Latin America,Chile,,601,23061,6%,94%,490,51%,49%,1806,129,1677,,,,,39.4,23.6
29,Universidad de San Andrés - UdeSA,Latin America,Argentina,,601,1762,23%,77%,79,33%,67%,195,10,185,,,,56.6,29,
30,Universidad Panamericana (UP),Latin America,Mexico,,601,12179,20%,80%,124,2%,98%,1675,151,1524,,,16.9,58.7,29,
31,Universidad Torcuato Di Tella,Latin America,Argentina,,601,2127,30%,70%,524,25%,75%,164,23,141,,50.6,31.3,25,34.1,
32,Instituto Politécnico Nacional (IPN),Latin America,Mexico,,651,115282,6%,94%,365,52%,48%,7770,179,7591,,,,,52.2,19.4
33,Instituto Tecnológico Autónomo de México (ITAM),Latin America,Mexico,,651,6085,7%,93%,51,25%,75%,407,88,319,,,58.6,,48.7,
34,Pontifícia Universidade Católica de São Paulo,Latin America,Brazil,,651,8501,42%,58%,66,45%,55%,762,31,731,,,,51.6,19.7,
35,Universidad de Antioquia,Latin America,Colombia,,651,41195,9%,91%,197,26%,74%,1739,52,1687,,,,,43.4,25.4
36,Universidad Iberoamericana IBERO,Latin America,Mexico,,651,12309,13%,87%,290,50%,50%,1022,39,983,,,,,46.8,17.2
37,Universidade Federal de Minas Gerais,Latin America,Brazil,,651,50351,30%,70%,1157,63%,37%,3342,229,3113,,,,,,28
38,Universidade Federal do Rio Grande Do Sul,Latin America,Brazil,,651,52995,34%,66%,715,80%,20%,2772,52,2720,,,,,,26.3
39,Pontificia Universidad Católica de Valparaíso,Latin America,Chile,,701,16054,5%,95%,115,70%,30%,843,58,785,,,,,28.4,20.5
40,Universidad Adolfo Ibàñez,Latin America,Chile,,701,11513,16%,84%,523,29%,71%,384,58,326,,,36.3,,63.6,
41,Universidad Central de Venezuela,Latin America,Venezuela,,701,49501,11%,89%,605,63%,37%,3306,39,3267,,,,,42.7,19.1
42,Universidad de Guadalajara (UDG),Latin America,Mexico,,701,127330,5%,95%,399,71%,29%,11296,191,11105,,,,33.7,,18.4
43,Universidad ICESI,Latin America,Colombia,,701,6579,8%,92%,93,6%,94%,767,34,733,,,,62.2,,
44,Universidade Federal de Santa Catarina,Latin America,Brazil,,701,32908,25%,75%,507,57%,43%,3002,90,2912,,,,29.6,,17.2
45,Universidad de La Sabana,Latin America,Colombia,,751,12201,17%,83%,313,13%,87%,847,38,809,,,,,44.4,
