,University,LatinAmericaRank,GlobalRank,GlobalScore,Country,City,PageNumber,USN_URL,Address,Webpage,Total number of students,Number of international students,Total number of academic staff,Number of international staff,Number of undergraduate degrees awarded,Number of master's degrees awarded,Number of doctoral degrees awarded,Number of research only staff,Number of new undergraduate students,Number of new master's students,Number of new doctoral students
65,Universidade Federal do Rio Grande,66,1259,25.4,Brazil,"Rio Grande, Rio Grande do Sul",7,https://www.usnews.com/education/best-global-universities/universidade-federal-do-rio-grande-529672,"Av. Itália, km 8 Rio Grande, Rio Grande do Sul 96203-900 Brazil",https://www.furg.br/en/,,,,,,,,,,,
66,Universidad de Talca,67,1283,24.3,Chile,Talca,7,https://www.usnews.com/education/best-global-universities/universidad-de-talca-529584,1 Poniente 1141 Talca Chile,https://www.utalca.cl/en/,,,,,,,,,,,
67,Universidade Estadual de Maringa,68,1287,24.2,Brazil,"Maringa, Parana",7,https://www.usnews.com/education/best-global-universities/universidade-estadual-de-maringa-529117,"Av. Colombo, 5790 Jd. Maringa, Parana 87020-900 Brazil",http://www.uem.br/,,,,,,,,,,,
68,National University of the Littoral,69,1376,21.3,Argentina,Santa Fe,7,https://www.usnews.com/education/best-global-universities/national-university-of-the-littoral-529233,"Bv. Pellegrini 2750 Santa Fe, 3000 Argentina",http://www.unl.edu.ar,,,,,,,,,,,
69,Universidad Autonoma del Estado de Mexico,70,1380,20.9,Mexico,"Toluca, Estado de México",7,https://www.usnews.com/education/best-global-universities/universidad-autonoma-del-estado-de-mexico-529581,"Cerro de Coatepec Toluca, Estado de México 50100 Mexico",https://www.uaemex.mx/,"57,589",292,"2,591",43,"5,552",830,90,991,"14,393","1,003",95
70,Universidade Federal de Alagoas,70,1380,20.9,Brazil,"Maceio, Alagoas",8,https://www.usnews.com/education/best-global-universities/universidade-federal-de-alagoas-529580,"Av. Lourival Melo Mota, S/N Maceio, Alagoas 57072-900 Brazil",https://ufal.br/,,,,,,,,,,,
71,Universidade Federal do Espirito Santo,72,1394,20.3,Brazil,Vitoria,8,https://www.usnews.com/education/best-global-universities/universidade-federal-do-espirito-santo-529299,"Av. Fernando Ferrari, 514 Vitoria Brazil",http://www.ufes.br,,,,,,,,,,,
72,National University of the South,73,1396,20.2,Argentina,Bahia Blanca,8,https://www.usnews.com/education/best-global-universities/national-university-of-the-south-529267,"Avenida Colon 80 Bahia Blanca, 8000 Argentina",http://www.uns.edu.ar/,,,,,,,,,,,
73,Universidade Federal de Campina Grande,74,1426,18.9,Brazil,"Campina Granda, Paraiba",8,https://www.usnews.com/education/best-global-universities/universidade-federal-de-campina-grande-529591,"R. Aprigio Veloso Campina Granda, Paraiba 58429 Brazil",http://cct.ufcg.edu.br/,,,,,,,,,,,
74,Universidade Federal de Ouro Preto,75,1427,18.8,Brazil,"Ouro Preto, Minas Gerais",8,https://www.usnews.com/education/best-global-universities/universidade-federal-de-ouro-preto-529582,"R. Diogo de Vasconcelos, 122 Ouro Preto, Minas Gerais 35400-000 Brazil",https://ufop.br/,,,,,,,,,,,
75,Universidade Federal de Mato Grosso do Sul,76,1438,18.4,Brazil,Campo Grande,8,https://www.usnews.com/education/best-global-universities/universidade-federal-de-mato-grosso-do-sul-529468,"Av. Costa e Silva, s/n Campo Grande Brazil",https://www.ufms.br/en/,,,,,,,,,,,
76,Instituto Federal do Rio Grande do Sul (IFRS),77,1451,17.9,Brazil,"Bento Gonçalves, Rio Grande do Sul",8,https://www.usnews.com/education/best-global-universities/instituto-federal-do-rio-grande-do-sul-ifrs-529593,"Rua General Osório, 348 Bento Gonçalves, Rio Grande do Sul 95700-086 Brazil",https://ifrs.edu.br/,,,,,,,,,,,
77,Universidade Federal Rural do Rio de Janeiro (UFRRJ),78,1453,17.8,Brazil,"Seropédica, Rio de Janeiro",8,https://www.usnews.com/education/best-global-universities/universidade-federal-rural-do-rio-de-janeiro-ufrrj-529587,"BR-465, Km 7  Seropédica, Rio de Janeiro 23897 Brazil",http://portal.ufrrj.br/,,,,,,,,,,,
78,Universidade Tecnologica Federal do Parana,79,1476,16.5,Brazil,Curitiba,8,https://www.usnews.com/education/best-global-universities/universidade-tecnologica-federal-do-parana-529590,"Av. Sete de Setembro, 3165 Curitiba, 80230-901 Brazil",http://www.utfpr.edu.br/,,,,,,,,,,,
79,Universidade Federal de Sergipe,80,1480,16.3,Brazil,São Cristóvão,8,https://www.usnews.com/education/best-global-universities/universidade-federal-de-sergipe-529586,"Av. Marechal Rondon, s/n, Jd. Rosa Elze São Cristóvão, 49100-000 Brazil",http://www.ufs.br/,,,,,,,,,,,
80,Universidade Federal Rural de Pernambuco (UFRPE),81,1492,15.9,Brazil,"Recife, PE",9,https://www.usnews.com/education/best-global-universities/universidade-federal-rural-de-pernambuco-ufrpe-529592,"Rua Dom Manuel de Medeiros Recife, PE 52170-900 Brazil",http://www.ufrpe.br/en,,,,,,,,,,,
81,Universidad Autonoma de Baja California,82,1497,15.6,Mexico,"Mexicali, Baja California",9,https://www.usnews.com/education/best-global-universities/universidad-autonoma-de-baja-california-529594,"Avenida Alvaro Obregon s/n, Nueva Mexicali, Baja California 21100 Mexico",http://www.uabc.mx/en/,,,,,,,,,,,
82,Universidad Veracruzana,82,1497,15.6,Mexico,"Xalapa, Veracruz",9,https://www.usnews.com/education/best-global-universities/universidad-veracruzana-529598,"Lomas del Estadio S/N, Col. Zona Universitaria Xalapa, Veracruz 91090 Mexico",https://www.uv.mx/,,,,,,,,,,,
